feature,coefficient,absolute_coefficient
loan_grade_G,2.0113488646151354,2.0113488646151354
person_home_ownership_OWN,-1.2223388607053978,1.2223388607053978
loan_grade_C,-1.2075177875611114,1.2075177875611114
loan_percent_income,1.1387130829470773,1.1387130829470773
loan_grade_B,-1.0836506490204625,1.0836506490204625
loan_grade_A,-1.0228818892623908,1.0228818892623908
loan_intent_VENTURE,-0.7407829544700578,0.7407829544700578
credit_risk_score,0.7168723587373655,0.7168723587373655
loan_amnt_capped,-0.6692548315964468,0.6692548315964468
loan_intent_HOMEIMPROVEMENT,0.5951829624798002,0.5951829624798002
person_home_ownership_RENT,0.5750715604777848,0.5750715604777848
loan_grade_F,0.5493792029508779,0.5493792029508779
cb_person_default_on_file_Y,-0.41219147661224953,0.41219147661224953
loan_grade_D,0.38158630505554975,0.38158630505554975
cb_person_default_on_file_N,0.3305024884737571,0.3305024884737571
person_home_ownership_MORTGAGE,0.3157375739593535,0.3157375739593535
loan_intent_EDUCATION,-0.31186827726477795,0.31186827726477795
loan_intent_DEBTCONSOLIDATION,0.30859477648784345,0.30859477648784345
loan_grade_E,0.29004696508391037,0.29004696508391037
person_home_ownership_OTHER,0.24984073812977248,0.24984073812977248
loan_intent_MEDICAL,0.24285784910978353,0.24285784910978353
credit_risk_level_Medium,-0.24083801430894036,0.24083801430894036
loan_intent_PERSONAL,-0.17567334448108865,0.17567334448108865
loan_int_rate,0.1747652985330394,0.1747652985330394
credit_risk_level_High,0.1598859902515052,0.1598859902515052
cb_person_cred_hist_length,0.12033939727428497,0.12033939727428497
person_emp_length,0.1180700714875716,0.1180700714875716
credit_risk_level_Low,-0.06466006470405765,0.06466006470405765
credit_risk_level_Very High,0.06392310062299678,0.06392310062299678
person_age,-0.050991691897157125,0.050991691897157125
person_income_capped,-0.01146596182956547,0.01146596182956547
